time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,0.65
133.8833333,6.761285275,0.540390976,6.761285275,0.540390976,0.971607991,0.950975858,0.50536573,0.49463427,0.860378308,-0.673519957,0.656975449
133.9666667,6.749570909,0.541381502,6.749570909,0.541381502,0.969924617,0.952718979,0.504474474,0.495525526,0.860620212,-0.676587488,0.655816816
134.05,6.723964398,0.543257988,6.723964398,0.543257988,0.966244919,0.956021204,0.502659287,0.497340713,0.861148991,-0.682398719,0.653457073
134.1333333,6.723964519,0.540374034,6.723964519,0.540374034,0.966244936,0.950946045,0.503989924,0.496010076,0.861148988,-0.673467493,0.655186901
134.2166667,6.726035253,0.539677444,6.726035253,0.539677444,0.966542504,0.94972019,0.504389355,0.495610645,0.861106227,-0.671310243,0.655706161
134.3,6.728463849,0.540369159,6.728463849,0.540369159,0.966891497,0.950937465,0.504159399,0.495840601,0.861056076,-0.673452395,0.655407219
134.3833333,6.698665468,0.541565704,6.698665468,0.541565704,0.96260942,0.953043137,0.502496873,0.497503127,0.861671418,-0.677157938,0.653245935
134.4666667,6.786829145,0.541942018,6.786829145,0.541942018,0.975278688,0.953705371,0.505591886,0.494408114,0.859850823,-0.678323333,0.657269451
134.55,6.752570151,0.540061114,6.752570151,0.540061114,0.970355613,0.95039537,0.505195948,0.494804052,0.860558277,-0.672498418,0.656754732
134.6333333,6.779378783,0.54098941,6.779378783,0.54098941,0.974208058,0.952028977,0.505757101,0.494242899,0.860004674,-0.675373229,0.657484231
134.7166667,6.707987316,0.541555494,6.707987316,0.541555494,0.963948985,0.953025168,0.502849234,0.497150766,0.86147892,-0.677126317,0.653704005
134.8,6.755902506,0.539080288,6.755902506,0.539080288,0.970834478,0.948669321,0.505773668,0.494226332,0.860489463,-0.669460931,0.657505769
134.8833333,6.708269276,0.539368353,6.708269276,0.539368353,0.963989503,0.949176254,0.503871397,0.496128603,0.861473098,-0.670353029,0.655032816
134.9666667,6.757599348,0.538881516,6.757599348,0.538881516,0.971078317,0.948319522,0.505928629,0.494071371,0.860454423,-0.668845358,0.657707218
135.05,6.718114838,0.541443731,6.718114838,0.541443731,0.965404327,0.952828489,0.503277975,0.496722025,0.861269785,-0.676780203,0.654261367
135.1333333,6.728757994,0.53854994,6.728757994,0.53854994,0.966933766,0.947736019,0.505013331,0.494986669,0.861050002,-0.667818513,0.656517331
135.2166667,6.769459007,0.5408149,6.769459007,0.5408149,0.97278257,0.951721877,0.505471718,0.494528282,0.860209519,-0.674832797,0.657113234
135.3,6.702238791,0.54067684,6.702238791,0.54067684,0.963122912,0.951478919,0.503040839,0.496959161,0.861597628,-0.674405241,0.653953091
135.3833333,6.695066629,0.539790559,6.695066629,0.539790559,0.962092261,0.949919249,0.5031833,0.4968167,0.861745735,-0.671660545,0.65413829
135.4666667,6.681739377,0.539082595,6.681739377,0.539082595,0.960177112,0.948673379,0.503013262,0.496986738,0.862020945,-0.669468073,0.653917241
135.55,6.728932774,0.540292251,6.728932774,0.540292251,0.966958882,0.950802123,0.504212402,0.495787598,0.861046393,-0.673214219,0.655476122
135.6333333,6.710750658,0.537076499,6.710750658,0.537076499,0.964346082,0.945143068,0.505028312,0.494971688,0.861421857,-0.663255458,0.656536806
135.7166667,6.724043405,0.537827545,6.724043405,0.537827545,0.966256272,0.946464753,0.505173655,0.494826345,0.861147359,-0.66558135,0.656725752
135.8,6.734501282,0.540092871,6.734501282,0.540092871,0.967759086,0.950451256,0.504511453,0.495488547,0.860931402,-0.672596768,0.655864888
135.8833333,6.737931735,0.54083404,6.737931735,0.54083404,0.968252048,0.95175556,0.504295943,0.495704057,0.860860563,-0.674892071,0.655584726
135.9666667,6.668438387,0.537437946,6.668438387,0.537437946,0.958265738,0.94577914,0.503278966,0.496721034,0.862295612,-0.664374813,0.654262656
136.05,6.655880703,0.542169728,6.655880703,0.542169728,0.956461178,0.954106093,0.500616331,0.499383669,0.862554931,-0.679028521,0.650801231
136.1333333,6.711531215,0.538349657,6.711531215,0.538349657,0.964458249,0.947383562,0.504465507,0.495534493,0.861405738,-0.667198263,0.655805159
136.2166667,6.718334497,0.538807595,6.718334497,0.538807595,0.965435892,0.948189437,0.504506226,0.495493774,0.861265249,-0.668616435,0.655858094
136.3,6.69400668,0.542502326,6.69400668,0.542502326,0.961939944,0.954691395,0.501890961,0.498109039,0.861767623,-0.680058531,0.652458249
136.3833333,6.598764069,0.538340184,6.598764069,0.538340184,0.948253422,0.947366891,0.500233837,0.499766163,0.863734399,-0.667168925,0.650303988
136.4666667,6.715699893,0.539688284,6.715699893,0.539688284,0.965057295,0.949739266,0.50399991,0.49600009,0.861319654,-0.671343813,0.655199883
136.55,6.741523686,0.538740656,6.741523686,0.538740656,0.968768217,0.948071638,0.50539862,0.49460138,0.860786389,-0.668409133,0.657018206
136.6333333,6.731640042,0.54039592,6.731640042,0.54039592,0.967347921,0.950984559,0.504264996,0.495735004,0.860990487,-0.673535269,0.655544495
136.7166667,6.684822332,0.540660852,6.684822332,0.540660852,0.960620138,0.951450784,0.502397755,0.497602245,0.861957281,-0.674355729,0.653117081
136.8,6.754807601,0.540378714,6.754807601,0.540378714,0.970677138,0.95095428,0.5051318,0.4948682,0.860512073,-0.673481985,0.656671341
136.8833333,6.702313636,0.538068204,6.702313636,0.538068204,0.963133668,0.946888262,0.504252675,0.495747325,0.861596083,-0.666326637,0.655528478
136.9666667,6.706850559,0.538262872,6.706850559,0.538262872,0.963785631,0.947230838,0.50433141,0.49566859,0.861502394,-0.666929501,0.655630833
137.05,6.731083577,0.540179607,6.731083577,0.540179607,0.967267956,0.950603894,0.504344415,0.495655585,0.861001979,-0.672865378,0.655647739
137.1333333,6.742553237,0.539987866,6.742553237,0.539987866,0.968916166,0.950266469,0.50485876,0.49514124,0.860765128,-0.67227158,0.656316388
137.2166667,6.65221697,0.53990252,6.65221697,0.53990252,0.955934693,0.950116278,0.501526301,0.498473699,0.862630587,-0.672007275,0.651984192
137.3,6.701494273,0.540459912,6.701494273,0.540459912,0.963015924,0.951097172,0.503113387,0.496886613,0.861613003,-0.673733445,0.654047404
137.3833333,6.718438868,0.538788771,6.718438868,0.538788771,0.965450891,0.948156311,0.504518843,0.495481157,0.861263094,-0.668558141,0.655874495
137.4666667,6.639821963,0.538229728,6.639821963,0.538229728,0.95415351,0.947172511,0.501835824,0.498164176,0.862886546,-0.666826858,0.652386571
137.55,6.692830877,0.543221374,6.692830877,0.543221374,0.961770979,0.955956772,0.501515911,0.498484089,0.861791903,-0.682285331,0.651970684
