time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,
6.883333333,5.047037313,0.652062025,5.047037313,0.652062025,0.999808858,1.004135458,0.498920479,0.501079521,0.801939694,-0.546306914,
6.966666667,4.945326831,0.655711009,4.945326831,0.655711009,0.979660198,1.00975467,0.492436351,0.507563649,0.805931107,-0.554960155,
7.05,5.082157486,0.653799128,5.082157486,0.653799128,1.0067661,1.00681049,0.499988977,0.500011023,0.800561478,-0.5504263,
7.133333333,4.997324524,0.653934662,4.997324524,0.653934662,0.989960845,1.007019204,0.495728961,0.504271039,0.803890568,-0.550747707,
7.216666667,5.03518953,0.657387742,5.03518953,0.657387742,0.997461834,1.012336736,0.496299405,0.503700595,0.802404636,-0.558936378,
7.3,5.053449193,0.655804633,5.053449193,0.655804633,1.00107904,1.009898844,0.497807086,0.502192914,0.801688074,-0.555182175,
7.383333333,5.073691683,0.658441752,5.073691683,0.658441752,1.00508904,1.013959845,0.497803222,0.502196778,0.8008937,-0.561435868,
7.466666667,5.041060528,0.651541458,5.041060528,0.651541458,0.998624868,1.003333817,0.498823914,0.501176086,0.802174241,-0.545072437,
7.55,5.011230034,0.657565725,5.011230034,0.657565725,0.992715501,1.012610818,0.495039382,0.504960618,0.803344875,-0.559358448,
7.633333333,4.995291975,0.649163659,4.995291975,0.649163659,0.989558201,0.999672153,0.497457823,0.502542177,0.803970331,-0.539433699,
7.716666667,5.057203555,0.654767347,5.057203555,0.654767347,1.001822772,1.008301488,0.498388479,0.501611521,0.801540742,-0.552722345,
7.8,5.036660914,0.651051296,5.036660914,0.651051296,0.997753312,1.002578998,0.498793779,0.501206221,0.802346894,-0.543910062,
7.883333333,5.008803312,0.655379616,5.008803312,0.655379616,0.992234772,1.009244344,0.49575075,0.50424925,0.803440107,-0.554174285,
7.966666667,5.063799014,0.651600043,5.063799014,0.651600043,1.00312932,1.003424034,0.499926562,0.500073438,0.801281917,-0.545211366,
8.05,5.068198403,0.657519262,5.068198403,0.657519262,1.004000831,1.012539268,0.497882899,0.502117101,0.801109272,-0.559248265,
8.133333333,5.019078923,0.65573773,5.019078923,0.65573773,0.994270352,1.009795818,0.496126509,0.503873491,0.803036862,-0.555023521,
8.216666667,5.050627575,0.653247449,5.050627575,0.653247449,1.000520082,1.005960938,0.49864418,0.50135582,0.801798802,-0.549118042,
8.3,5.060978904,0.654236404,5.060978904,0.654236404,1.002570662,1.007483868,0.498777842,0.501222158,0.801392586,-0.551463261,
8.383333333,4.997366373,0.652836023,4.997366373,0.652836023,0.989969136,1.005327367,0.496151391,0.503848609,0.803888925,-0.548142382,
8.466666667,5.044558136,0.652074515,5.044558136,0.652074515,0.999317738,1.004154692,0.498792857,0.501207143,0.802036985,-0.546336534,
8.55,5.015401805,0.65354578,5.015401805,0.65354578,0.993541922,1.00642035,0.496780332,0.503219668,0.803181163,-0.549825508,
8.633333333,5.040888299,0.65128696,5.040888299,0.65128696,0.998590749,1.002941906,0.498913044,0.501086956,0.802181,-0.544468918,
8.716666667,5.087981597,0.658795776,5.087981597,0.658795776,1.007919846,1.014505021,0.498371961,0.501628039,0.800332923,-0.562275404,
8.8,5.056468028,0.65824331,5.056468028,0.65824331,1.001677065,1.013654258,0.497028481,0.502971519,0.801569606,-0.560965281,
8.883333333,5.082062602,0.651988373,5.082062602,0.651988373,1.006747303,1.004022039,0.500677667,0.499322333,0.800565201,-0.546132256,
8.966666667,5.071063228,0.656821467,5.071063228,0.656821467,1.004568348,1.011464706,0.498289622,0.501710378,0.800996848,-0.557593507,
9.05,5.030030348,0.652692677,5.030030348,0.652692677,0.996439809,1.005106624,0.49783497,0.50216503,0.802607097,-0.54780245,
